"Name","State","Notes","User","Tags","Created","Runtime","Sweep","experiment.name","experiment.output_dir","experiment.seed","logging.forecast_every","logging.log_every","logging.theory_match_every","loss.inner_product","loss.lambda_u","loss.lambda_v","loss.type","modality.future_len","modality.past_len","modality.sigma_u","modality.sigma_v","modality.start","modality.type","model.bias","model.embed_dim","model.init_logit_scale","model.type","signal.alpha","signal.dim_true","signal.tau","signal.type","signal.zero_mean","training.batch_size","training.lr","training.num_steps","training.optimizer","cov_error_post","cov_error_pre","eval/margin","eval/rand_sim_mean","eval/recall@10_u2v","eval/recall@10_v2u","eval/recall@1_u2v","eval/recall@1_v2u","eval/recall@5_u2v","eval/recall@5_v2u","eval/self_sim_mean","eval/self_sim_std","forecast_mse","forecast_mse_post","forecast_mse_pre","logit_scale","loss","model_cov_error","rand_sim","res_cov_error","self_sim","similarity_ratio","theory_err","v_mean","v_pred_mean","v_pred_std","v_std","weight_product_norm"
"hp_bs256_lr1e4","finished","-","","","2026-06-02T20:16:39.000Z","376","","hp_bs256_lr1e4","results/hp_bs256_lr1e4","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0001","25000","adam","271.080810546875","126.04429626464844","","","","","","","","","","","","0.11161869764328004","0.06691234558820724","13.838796615600586","5.051191806793213","","0.016693973913788795","","0.3422297239303589","20.500194549560547","1.298036143993637","","","","","1.0293917655944824"
"hp_bs64_lr5e3","finished","-","","","2026-06-02T20:14:23.000Z","135","","hp_bs64_lr5e3","results/hp_bs64_lr5e3","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","64","0.005","25000","adam","340.6971740722656","126.04429626464844","","","","","","","","","","","","0.13456179201602936","0.06691234558820724","1.000105381011963","3.783103466033935","","-0.18852275609970093","","0.3518599271774292","-1.8664056062698364","0.8351135923884966","","","","","13.940267562866213"
"hp_bs64_lr1e3","finished","-","","","2026-06-02T20:12:03.000Z","138","","hp_bs64_lr1e3","results/hp_bs64_lr1e3","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","64","0.001","25000","adam","337.6139221191406","126.04429626464844","","","","","","","","","","","","0.13415898382663727","0.06691234558820724","9.903093338012695","3.780623197555542","","-0.18219082057476044","","0.3506159782409668","-1.92444372177124","0.7553820613784207","","","","","1.415247082710266"
"hp_bs64_lr5e4","finished","-","","","2026-06-02T20:09:27.000Z","155","","hp_bs64_lr5e4","results/hp_bs64_lr5e4","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","64","0.0005","25000","adam","349.8667297363281","126.04429626464844","","","","","","","","","","","","0.13859686255455017","0.06691234558820724","12.231807708740234","3.7805800437927246","","-0.18451374769210815","","0.3876027762889862","-2.1006715297698975","0.7693520569356952","","","","","1.1504945755004885"
"hp_bs64_lr1e4","finished","-","","","2026-06-02T20:06:51.000Z","155","","hp_bs64_lr1e4","results/hp_bs64_lr1e4","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","64","0.0001","25000","adam","335.9142761230469","126.04429626464844","","","","","","","","","","","","0.1357332170009613","0.06691234558820724","13.98002815246582","3.777326822280884","","-0.16885729134082794","","0.32807454466819763","-1.9429101943969729","1.4495076451267976","","","","","1.15852952003479"
"phase1_gp_conditional_baseline","killed","-","","","2026-06-02T17:38:25.000Z","609","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","500","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","10000","adam","","","","","","","","","","","","","0.09645197540521622","","","14.093390464782717","6.4349541664123535","","-0.030886711552739143","","0.47832927107810974","-15.486571311950684","1.575655891763196","","","","","1.2463502883911133"
"phase1_gp_conditional_baseline","failed","-","","","2026-06-02T17:37:03.000Z","3","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","500","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","10000","adam","","","","","","","","","","","","","","","","","6.923009872436523","","","","","","","","","","",""
"phase1_gp_conditional_baseline","failed","-","","","2026-06-02T17:34:50.000Z","5","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","500","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","10000","adam","","","","","","","","","","","","","","","","","6.923009872436523","","","","","","","","","","",""
"phase1_gp_conditional_baseline","finished","-","","","2026-06-02T17:14:10.000Z","811","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","500","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","10000","adam","","","","","","","","","","","","","0.09206722676753998","","","","6.43214750289917","","","","","","1.48100919026108","","","","",""
"phase1_gp_conditional_baseline","failed","-","","","2026-06-02T17:11:45.000Z","6","","phase1_gp_conditional_baseline","results/phase1_gp_conditional_baseline","42","500","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","1024","0.0001","10000","adam","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
